pair,entry_z,exit_z,lookback,sl_mult,cal_expR,cal_pctMR,val_expR,val_pctMR,val_n,fwd_expR,fwd_pctMR
LTC/XRP,2.5,0.3,30,1.5,-0.6284,47.7,0.8888,48.7,36,2.3331,48.2
LTC/XRP,2.5,0.3,30,2.0,-0.4713,47.7,0.6665,48.7,36,1.7498,48.2
LTC/XRP,2.5,0.3,40,1.0,-3.5117,49.3,5.5815,47.8,32,4.8882,47.8
LTC/XRP,2.5,0.3,40,1.5,-2.3412,49.3,3.721,47.8,32,3.2588,47.8
LTC/XRP,2.5,0.3,40,2.0,-1.7559,49.3,2.7907,47.8,32,2.444,47.8
LTC/XRP,2.5,0.3,60,1.0,-1.6203,44.7,5.2859,49.8,24,6.714,47.3
LTC/XRP,2.5,0.3,60,1.5,-1.0803,44.7,3.5238,49.8,24,4.476,47.3
LTC/XRP,2.5,0.3,60,2.0,-0.8103,44.7,2.6428,49.8,24,3.3569,47.3
LTC/XRP,2.5,0.5,20,1.0,-2.4883,45.6,1.3562,49.0,41,2.6151,48.9
LTC/XRP,2.5,0.5,20,1.5,-1.6589,45.6,0.9041,49.0,41,1.7433,48.9
LTC/XRP,2.5,0.5,20,2.0,-1.2442,45.6,0.678,49.0,41,1.3074,48.9
LTC/XRP,2.5,0.5,30,1.0,-0.7514,49.1,0.7228,47.9,37,3.4068,46.9
LTC/XRP,2.5,0.5,30,1.5,-0.501,49.1,0.4818,47.9,37,2.2712,46.9
LTC/XRP,2.5,0.5,30,2.0,-0.3758,49.1,0.3613,47.9,37,1.7033,46.9
LTC/XRP,2.5,0.5,40,1.0,-4.4619,48.8,2.3966,47.6,32,4.9178,48.2
LTC/XRP,2.5,0.5,40,1.5,-2.9747,48.8,1.5977,47.6,32,3.2785,48.2
LTC/XRP,2.5,0.5,40,2.0,-2.2311,48.8,1.1982,47.6,32,2.4588,48.2
LTC/XRP,2.5,0.5,60,1.0,-1.1121,46.1,6.0707,48.6,25,5.6549,47.3
LTC/XRP,2.5,0.5,60,1.5,-0.7415,46.1,4.0471,48.6,25,3.7699,47.3
LTC/XRP,2.5,0.5,60,2.0,-0.5561,46.1,3.0353,48.6,25,2.8273,47.3
LTC/XRP,2.5,0.8,20,1.0,0.648,49.0,1.1419,47.6,41,2.5279,48.5
LTC/XRP,2.5,0.8,20,1.5,0.4319,49.0,0.7612,47.6,41,1.6852,48.5
LTC/XRP,2.5,0.8,20,2.0,0.3239,49.0,0.5708,47.6,41,1.2639,48.5
LTC/XRP,2.5,0.8,30,1.0,-1.7566,45.9,0.8899,47.1,38,3.2301,48.5
LTC/XRP,2.5,0.8,30,1.5,-1.1712,45.9,0.5932,47.1,38,2.1533,48.5
LTC/XRP,2.5,0.8,30,2.0,-0.8784,45.9,0.4449,47.1,38,1.6149,48.5
LTC/XRP,2.5,0.8,40,1.0,-4.0277,48.5,1.3279,48.2,33,3.8087,48.5
LTC/XRP,2.5,0.8,40,1.5,-2.6852,48.5,0.8852,48.2,33,2.5391,48.5
LTC/XRP,2.5,0.8,40,2.0,-2.0139,48.5,0.6639,48.2,33,1.9042,48.5
LTC/XRP,2.5,0.8,60,1.0,-0.6957,46.6,4.7279,49.4,25,5.0924,48.8
LTC/XRP,2.5,0.8,60,1.5,-0.4639,46.6,3.1519,49.4,25,3.3949,48.8
LTC/XRP,2.5,0.8,60,2.0,-0.3479,46.6,2.3639,49.4,25,2.5461,48.8
LTC/ADA,1.5,0.3,20,1.0,-1.301,45.6,0.6083,49.1,123,3.5331,49.4
LTC/ADA,1.5,0.3,20,1.5,-0.8674,45.6,0.4055,49.1,123,2.3553,49.4
LTC/ADA,1.5,0.3,20,2.0,-0.6506,45.6,0.3041,49.1,123,1.7664,49.4
LTC/ADA,1.5,0.3,30,1.0,0.7663,49.1,1.4653,49.7,92,4.2438,48.9
LTC/ADA,1.5,0.3,30,1.5,0.5108,49.1,0.9768,49.7,92,2.8291,48.9
LTC/ADA,1.5,0.3,30,2.0,0.383,49.1,0.7326,49.7,92,2.1218,48.9
LTC/ADA,1.5,0.3,40,1.0,1.1266,44.4,1.5607,47.6,71,4.9672,48.8
LTC/ADA,1.5,0.3,40,1.5,0.751,44.4,1.0404,47.6,71,3.3114,48.8
LTC/ADA,1.5,0.3,40,2.0,0.5632,44.4,0.7803,47.6,71,2.4835,48.8
LTC/ADA,1.5,0.3,60,1.0,-0.0116,45.3,3.18,48.5,53,3.719,48.9
LTC/ADA,1.5,0.3,60,1.5,-0.0078,45.3,2.1199,48.5,53,2.4792,48.9
LTC/ADA,1.5,0.3,60,2.0,-0.0059,45.3,1.5899,48.5,53,1.8594,48.9
LTC/ADA,1.5,0.5,20,1.0,0.8453,46.2,0.6612,48.2,127,3.3019,46.7
LTC/ADA,1.5,0.5,20,1.5,0.5635,46.2,0.4407,48.2,127,2.2012,46.7
LTC/ADA,1.5,0.5,20,2.0,0.4225,46.2,0.3305,48.2,127,1.6508,46.7
LTC/ADA,1.5,0.5,30,1.0,0.4272,47.8,1.056,49.9,98,3.7909,47.2
LTC/ADA,1.5,0.5,30,1.5,0.2848,47.8,0.7039,49.9,98,2.5272,47.2
LTC/ADA,1.5,0.5,30,2.0,0.2135,47.8,0.5279,49.9,98,1.8953,47.2
LTC/ADA,1.5,0.5,40,1.0,0.3183,45.1,1.5501,48.0,76,4.1214,48.5
LTC/ADA,1.5,0.5,40,1.5,0.2122,45.1,1.0333,48.0,76,2.7475,48.5
